# Generated by tools/generate_similar_kanji_tsv.py
# Source: Kiku apps/docs/public/_kiku_db_main.tar
# Kiku commit: 68c4d00e8c2d8a61f8714c8c8075b1451ca3f77d
# Shape: KanjiInfoCompact[8] visuallySimilar
kanji_a	kanji_b	source
官	宮	kiku:wk-visually-similar
官	館	kiku:wk-visually-similar
宙	笛	kiku:wk-visually-similar
宛	腕	kiku:wk-visually-similar
宜	宣	kiku:wk-visually-similar
実	真	kiku:wk-visually-similar
実	美	kiku:wk-visually-similar
客	格	kiku:wk-visually-similar
室	屋	kiku:wk-visually-similar
室	窒	kiku:wk-visually-similar
宰	幸	kiku:wk-visually-similar
宰	辛	kiku:wk-visually-similar
家	豪	kiku:wk-visually-similar
容	沿	kiku:wk-visually-similar
容	浴	kiku:wk-visually-similar
容	溶	kiku:wk-visually-similar
容	裕	kiku:wk-visually-similar
容	谷	kiku:wk-visually-similar
容	鉛	kiku:wk-visually-similar
密	蜜	kiku:wk-visually-similar
寝	浸	kiku:wk-visually-similar
察	祭	kiku:wk-visually-similar
察	際	kiku:wk-visually-similar
審	番	kiku:wk-visually-similar
寮	療	kiku:wk-visually-similar
寺	待	kiku:wk-visually-similar
寺	持	kiku:wk-visually-similar
寺	時	kiku:wk-visually-similar
寺	特	kiku:wk-visually-similar
寺	詩	kiku:wk-visually-similar
対	村	kiku:wk-visually-similar
