Kanji,Rank
厭,2213
茜,2214
豹,2215
沫,2216
屁,2217
礫,2218
肖,2219
腿,2220
辣,2221
汝,2222
窒,2223
勲,2224
掟,2225
唄,2226
酢,2227
剖,2228
閲,2229
雌,2230
棋,2231
疼,2232
棺,2233
唆,2234
憫,2235
亮,2236
尺,2237
彰,2238
笹,2239
煎,2240
躾,2241
傭,2242
吞,2243
隈,2244
瑠,2245
胎,2246
弔,2247
攫,2248
姐,2249
禄,2250
辰,2251
恰,2252
惰,2253
碧,2254
侶,2255
跨,2256
棘,2257
捲,2258
雛,2259
瓜,2260
璃,2261
侯,2262
姻,2263
孕,2264
醤,2265
循,2266
猥,2267
鼠,2268
竿,2269
逞,2270
逡,2271
洩,2272
絨,2273
墟,2274
篤,2275
譜,2276
恍,2277
糾,2278
篠,2279
狗,2280
姑,2281
茎,2282
殆,2283
蔓,2284
綴,2285
弛,2286
栓,2287
朦,2288
凜,2289
諜,2290
狡,2291
翠,2292
枷,2293
耶,2294
貶,2295
屑,2296
跪,2297
躱,2298
楓,2299
薪,2300
宰,2301
凸,2302
旺,2303
但,2304
毯,2305
套,2306
郡,2307
弧,2308
輔,2309
呵,2310
填,2311
竄,2312
享,2313
啜,2314
戮,2315
耽,2316
杞,2317
儘,2318
肪,2319
鳳,2320
捗,2321
遽,2322
其,2323
漕,2324
梁,2325
疇,2326
柿,2327
椿,2328
汽,2329
窪,2330
咀,2331
茨,2332
妾,2333
伽,2334
栽,2335
賓,2336
嚼,2337
靡,2338
緋,2339
藻,2340
嶺,2341
舵,2342
俵,2343
鴨,2344
顰,2345
硝,2346
茫,2347
涎,2348
叉,2349
擲,2350
醍,2351
摺,2352
憚,2353
迸,2354
緻,2355
捏,2356
膣,2357
兜,2358
藩,2359
累,2360
讃,2361
詣,2362
湛,2363
埼,2364
姦,2365
暢,2366
遙,2367
錦,2368
宏,2369
杭,2370
醐,2371
柏,2372
獰,2373
艇,2374
祓,2375
冶,2376
洪,2377
峠,2378
債,2379
仔,2380
堤,2381
陵,2382
唖,2383
熾,2384
眷,2385
斥,2386
燻,2387
眸,2388
謁,2389
滋,2390
祟,2391
樽,2392
屓,2393
藪,2394
貿,2395
煉,2396
轢,2397
膏,2398
霜,2399
濤,2400
矜,2401
茹,2402
翳,2403
斑,2404
裔,2405
苔,2406
贔,2407
呉,2408
芻,2409
褐,2410
燭,2411
宥,2412
鵜,2413
揄,2414
琥,2415
揶,2416
窃,2417
麓,2418
帥,2419
徊,2420
吼,2421
掬,2422
塁,2423
藁,2424
庄,2425
仄,2426
滓,2427
狸,2428
碗,2429
挺,2430
徘,2431
肋,2432
坦,2433
珀,2434
剃,2435
俄,2436
隕,2437
焉,2438
蟻,2439
駿,2440
頸,2441
忽,2442
飄,2443
咤,2444
嘉,2445
訣,2446
榊,2447
泌,2448
寵,2449
岬,2450
猾,2451
隼,2452
炙,2453
輿,2454
靭,2455
李,2456
絢,2457
殉,2458
饒,2459
曽,2460
傀,2461
巳,2462
播,2463
滾,2464
詛,2465
菅,2466
遷,2467
悸,2468
謂,2469
儡,2470
蛙,2471
朋,2472
矯,2473
薩,2474
憾,2475
寡,2476
后,2477
躯,2478
賠,2479
淳,2480
餐,2481
梗,2482
穀,2483
腺,2484
贖,2485
凱,2486
冤,2487
撥,2488
幣,2489
柚,2490
牡,2491
甥,2492
屠,2493
儂,2494
曾,2495
褪,2496
懺,2497
碑,2498
堰,2499
冑,2500
酵,2501
櫛,2502
齧,2503
禅,2504
癇,2505
桑,2506
拮,2507
噤,2508
譚,2509
悼,2510
靄,2511
祀,2512
怜,2513
娼,2514
燕,2515
卸,2516
或,2517
鞍,2518
巴,2519
嗤,2520
倖,2521
屯,2522
庵,2523
篭,2524
几,2525
蒔,2526
蒲,2527
哭,2528
鯉,2529
啞,2530
僭,2531
雁,2532
惣,2533
夷,2534
哨,2535
叡,2536
幡,2537
淋,2538
脊,2539
幌,2540
轍,2541
潟,2542
梓,2543
囃,2544
捩,2545
賂,2546
悍,2547
嘔,2548
訟,2549
董,2550
倦,2551
梯,2552
燈,2553
姪,2554
漲,2555
栖,2556
巷,2557
萩,2558
箋,2559
諫,2560
楠,2561
芥,2562
梳,2563
慧,2564
甦,2565
褄,2566
准,2567
暈,2568
辟,2569
睫,2570
坐,2571
嫡,2572
伍,2573
悴,2574
膠,2575
酎,2576
遁,2577
晦,2578
澱,2579
粟,2580
躓,2581
瘍,2582
鍔,2583
曝,2584
鮫,2585
苑,2586
伎,2587
軀,2588
